Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
England,Zimbabwe,Zimbabwe,Sydney,1994-12-15,13,runs
South Africa,Sri Lanka,Sri Lanka,Bloemfontein,1994-12-15,35,runs
South Africa,Pakistan,Pakistan,Durban,1994-12-17,8,wickets
New Zealand,Sri Lanka,Sri Lanka,East London,1994-12-18,5,wickets
New Zealand,Pakistan,Pakistan,East London,1994-12-19,5,wickets
South Africa,Sri Lanka,South Africa,Port Elizabeth,1994-12-21,44,runs
England,Zimbabwe,England,Brisbane,1995-01-07,26,runs
Australia,England,England,Melbourne,1995-01-10,37,runs
South Africa,Pakistan,South Africa,Cape Town,1995-01-10,37,runs
South Africa,Pakistan,South Africa,Johannesburg,1995-01-12,157,runs
New Zealand,West Indies,West Indies,Auckland,1995-01-22,25,runs
New Zealand,West Indies,West Indies,Wellington,1995-01-25,41,runs
New Zealand,West Indies,West Indies,Christchurch,1995-01-28,9,wickets
Australia,South Africa,Australia,Wellington,1995-02-15,3,wickets
New Zealand,India,New Zealand,Napier,1995-02-16,4,wickets
India,South Africa,South Africa,Hamilton,1995-02-18,14,runs
New Zealand,Australia,Australia,Auckland,1995-02-19,27,runs
Australia,India,India,Dunedin,1995-02-22,5,wickets
Zimbabwe,Pakistan,tied,Harare,1995-02-22,,
New Zealand,South Africa,New Zealand,Christchurch,,46,runs
Zimbabwe,Pakistan,Pakistan,Harare,1995-02-25,4,wickets
New Zealand,Australia,Australia,Auckland,1995-02-26,6,wickets
Zimbabwe,Pakistan,Zimbabwe,Harare,1995-02-26,74,runs
West Indies,Australia,West Indies,Bridgetown,1995-03-08,6,runs
West Indies,Australia,Australia,Port of Spain,1995-03-11,26,runs
West Indies,Australia,West Indies,Port of Spain,1995-03-12,133,runs
West Indies,Australia,West Indies,Kingstown,1995-03-15,7,wickets
West Indies,Australia,West Indies,Georgetown,1995-03-18,5,wickets
New Zealand,Sri Lanka,New Zealand,Christchurch,1995-03-26,33,runs
New Zealand,Sri Lanka,New Zealand,Hamilton,1995-03-29,57,runs
New Zealand,Sri Lanka,Sri Lanka,Auckland,1995-04-01,51,runs
Bangladesh,India,India,Sharjah,1995-04-05,9,wickets
Bangladesh,Sri Lanka,Sri Lanka,Sharjah,1995-04-06,107,runs
India,Pakistan,Pakistan,Sharjah,1995-04-07,97,runs
Bangladesh,Pakistan,Pakistan,Sharjah,1995-04-08,6,wickets
India,Sri Lanka,India,Sharjah,1995-04-09,8,wickets
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1995-04-11,5,wickets
India,Sri Lanka,India,Sharjah,1995-04-14,8,wickets
England,West Indies,West Indies,Nottingham,,5,wickets
England,West Indies,England,The Oval,1995-05-26,25,runs
England,West Indies,England,Lord's,1995-05-28,73,runs
Pakistan,Sri Lanka,Pakistan,Gujranwala,1995-09-29,9,wickets
Pakistan,Sri Lanka,Sri Lanka,Faisalabad,1995-10-01,49,runs
Pakistan,Sri Lanka,Sri Lanka,Rawalpindi,1995-10-03,4,wickets
Sri Lanka,West Indies,Sri Lanka,Sharjah,1995-10-11,6,runs
Pakistan,Sri Lanka,Pakistan,Sharjah,1995-10-12,82,runs
Pakistan,West Indies,Pakistan,Sharjah,1995-10-13,15,runs
Pakistan,West Indies,West Indies,Sharjah,1995-10-15,4,wickets
Sri Lanka,West Indies,West Indies,Sharjah,1995-10-16,4,runs
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1995-10-17,8,wickets
Sri Lanka,West Indies,Sri Lanka,Sharjah,1995-10-20,50,runs
Zimbabwe,South Africa,South Africa,Harare,1995-10-21,134,runs
Zimbabwe,South Africa,South Africa,Harare,1995-10-22,112,runs
India,New Zealand,New Zealand,Jamshedpur,1995-11-15,8,wickets
India,New Zealand,India,Amritsar,1995-11-18,6,wickets
India,New Zealand,India,Pune,1995-11-24,5,wickets
India,New Zealand,New Zealand,Nagpur,1995-11-26,99,runs
India,New Zealand,India,Mumbai (BS),1995-11-29,6,wickets
New Zealand,Pakistan,Pakistan,Dunedin,1995-12-15,20,runs
Sri Lanka,West Indies,Sri Lanka,Adelaide,1995-12-15,4,wickets
New Zealand,Pakistan,New Zealand,Christchurch,1995-12-17,1,wicket
Australia,West Indies,Australia,Adelaide,1995-12-17,121,runs
Australia,West Indies,Australia,Melbourne,1995-12-19,24,runs
New Zealand,Pakistan,Pakistan,Wellington,1995-12-20,54,runs
Australia,Sri Lanka,Australia,Sydney,1995-12-21,5,wickets
New Zealand,Pakistan,New Zealand,Auckland,1995-12-23,32,runs
Australia,West Indies,Australia,Sydney,1996-01-01,1,wicket
Sri Lanka,West Indies,West Indies,Hobart,1996-01-03,70,runs
Sri Lanka,West Indies,West Indies,Brisbane,1996-01-05,7,wickets
Australia,West Indies,West Indies,Brisbane,1996-01-07,14,runs
Australia,Sri Lanka,Sri Lanka,Melbourne,1996-01-09,3,wickets
South Africa,England,South Africa,Cape Town,1996-01-09,6,runs
South Africa,England,England,Bloemfontein,1996-01-11,5,wickets
Australia,Sri Lanka,Australia,Perth,1996-01-12,83,runs
South Africa,England,South Africa,Johannesburg,1996-01-13,3,wickets
Sri Lanka,West Indies,Sri Lanka,Perth,1996-01-14,16,runs
South Africa,England,South Africa,Centurion,1996-01-14,7,wickets
Australia,Sri Lanka,Sri Lanka,Melbourne,1996-01-16,3,wickets
South Africa,England,South Africa,Durban,1996-01-17,5,wickets
Australia,Sri Lanka,Australia,Melbourne,1996-01-18,18,runs
South Africa,England,South Africa,East London,1996-01-19,14,runs
Australia,Sri Lanka,Australia,Sydney,1996-01-20,9,runs
South Africa,England,South Africa,Port Elizabeth,1996-01-21,64,runs
New Zealand,Zimbabwe,New Zealand,Auckland,1996-01-28,74,runs
New Zealand,Zimbabwe,New Zealand,Wellington,1996-01-31,6,wickets
New Zealand,Zimbabwe,Zimbabwe,Napier,1996-02-03,21,runs
England,New Zealand,New Zealand,Ahmedabad,1996-02-14,11,runs
South Africa,U.A.E.,South Africa,Rawalpindi,1996-02-16,169,runs
West Indies,Zimbabwe,West Indies,Hyderabad (Deccan),1996-02-16,6,wickets
Netherlands,New Zealand,New Zealand,Vadodara,1996-02-17,119,runs
India,Kenya,India,Cuttack,1996-02-18,7,wickets
England,U.A.E.,England,Peshawar,1996-02-18,8,wickets
New Zealand,South Africa,South Africa,Faisalabad,1996-02-20,5,wickets
Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1996-02-21,6,wickets
India,West Indies,India,Gwalior,1996-02-21,5,wickets
England,Netherlands,England,Peshawar,1996-02-22,49,runs
Australia,Kenya,Australia,Visakhapatnam,1996-02-23,97,runs
Pakistan,U.A.E.,Pakistan,Gujranwala,1996-02-24,9,wickets
England,South Africa,South Africa,Rawalpindi,1996-02-25,78,runs
Kenya,Zimbabwe,no result,Patna,1996-02-26,,
Pakistan,Netherlands,Pakistan,Lahore,1996-02-26,8,wickets
Kenya,Zimbabwe,Zimbabwe,Patna,1996-02-27,5,wickets
New Zealand,U.A.E.,New Zealand,Faisalabad,1996-02-27,109,runs
India,Australia,Australia,Mumbai,1996-02-27,16,runs
Kenya,West Indies,Kenya,Pune,1996-02-29,73,runs
Pakistan,South Africa,South Africa,Karachi,1996-02-29,5,wickets
Australia,Zimbabwe,Australia,Nagpur,1996-03-01,8,wickets
Netherlands,U.A.E.,U.A.E.,Lahore,1996-03-01,7,wickets
India,Sri Lanka,Sri Lanka,Delhi,1996-03-02,6,wickets
Pakistan,England,Pakistan,Karachi,1996-03-03,7,wickets
Australia,West Indies,West Indies,Jaipur,1996-03-04,4,wickets
Netherlands,South Africa,South Africa,Rawalpindi,1996-03-05,160,runs
India,Zimbabwe,India,Kanpur,1996-03-06,40,runs
Sri Lanka,Kenya,Sri Lanka,Kandy,1996-03-06,144,runs
Pakistan,New Zealand,Pakistan,Lahore,1996-03-06,46,runs
England,Sri Lanka,Sri Lanka,Faisalabad,1996-03-09,5,wickets
India,Pakistan,India,Bengaluru,1996-03-09,39,runs
South Africa,West Indies,West Indies,Karachi,1996-03-11,19,runs
Australia,New Zealand,Australia,Chennai,1996-03-11,6,wickets
India,Sri Lanka,Sri Lanka,Kolkata,1996-03-13,,
Australia,West Indies,Australia,Mohali,1996-03-14,5,runs
Australia,Sri Lanka,Sri Lanka,Lahore,1996-03-17,7,wickets
West Indies,New Zealand,West Indies,Kingston,1996-03-26,1,wicket
West Indies,New Zealand,New Zealand,Port of Spain,1996-03-29,4,wickets
West Indies,New Zealand,West Indies,Port of Spain,1996-03-30,7,wickets
Pakistan,Sri Lanka,no result,Singapore,1996-04-01,,
Pakistan,Sri Lanka,Sri Lanka,Singapore,1996-04-02,34,runs
India,Sri Lanka,India,Singapore,1996-04-03,12,runs
West Indies,New Zealand,New Zealand,Georgetown,1996-04-03,4,runs
India,Pakistan,Pakistan,Singapore,1996-04-05,8,wickets
West Indies,New Zealand,West Indies,Kingstown,1996-04-06,7,wickets
Pakistan,Sri Lanka,Pakistan,Singapore,1996-04-07,43,runs
India,Pakistan,Pakistan,Sharjah,1996-04-12,38,runs
Pakistan,South Africa,South Africa,Sharjah,1996-04-13,143,runs
West Indies,Sri Lanka,Sri Lanka,Port of Spain,1996-04-13,35,runs
India,South Africa,South Africa,Sharjah,1996-04-14,80,runs
India,Pakistan,India,Sharjah,1996-04-15,28,runs
Pakistan,South Africa,South Africa,Sharjah,1996-04-16,8,wickets
India,South Africa,South Africa,Sharjah,1996-04-17,5,wickets
India,South Africa,South Africa,Sharjah,1996-04-19,38,runs
England,India,no result,The Oval,,,
England,India,England,Leeds,1996-05-25,6,wickets
England,India,England,Manchester,,4,wickets
Australia,Zimbabwe,Australia,Colombo (RPS),1996-08-26,125,runs
Sri Lanka,India,Sri Lanka,Colombo (RPS),1996-08-28,9,wickets
England,Pakistan,England,Manchester,1996-08-29,5,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (RPS),1996-08-30,4,wickets
England,Pakistan,England,Birmingham,1996-08-31,107,runs
India,Zimbabwe,India,Colombo (SSC),1996-09-01,7,wickets
England,Pakistan,Pakistan,Nottingham,1996-09-01,2,wickets
Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1996-09-03,6,wickets
Australia,India,Australia,Colombo (SSC),1996-09-06,3,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (RPS),1996-09-07,50,runs
India,Pakistan,India,Toronto,1996-09-16,8,wickets
India,Pakistan,Pakistan,Toronto,1996-09-17,2,wickets
India,Pakistan,India,Toronto,1996-09-18,55,runs
India,Pakistan,Pakistan,Toronto,1996-09-21,97,runs
India,Pakistan,Pakistan,Toronto,1996-09-23,52,runs
Kenya,Sri Lanka,Sri Lanka,Nairobi (Gym),1996-09-28,7,wickets
Pakistan,South Africa,South Africa,Nairobi (Gym),1996-09-29,62,runs
South Africa,Sri Lanka,Sri Lanka,Nairobi (Club),1996-10-01,2,wickets
Kenya,Pakistan,Pakistan,Nairobi (Aga),1996-10-02,4,wickets
Kenya,South Africa,South Africa,Nairobi (Gym),1996-10-03,202,runs
Pakistan,Sri Lanka,Pakistan,Nairobi (Gym),1996-10-04,82,runs
Pakistan,South Africa,South Africa,Nairobi (Gym),1996-10-06,7,wickets
India,South Africa,South Africa,Hyderabad (Deccan),1996-10-17,47,runs
Australia,South Africa,South Africa,Indore,1996-10-19,7,wickets
India,Australia,India,Bengaluru,1996-10-21,2,wickets
India,South Africa,South Africa,Jaipur,1996-10-23,27,runs
Australia,South Africa,South Africa,Faridabad,1996-10-25,2,wickets
India,South Africa,South Africa,Rajkot,1996-10-29,5,wickets
Pakistan,Zimbabwe,Pakistan,Quetta,1996-10-30,3,wickets
Australia,South Africa,South Africa,Guwahati,1996-11-01,8,wickets
Pakistan,Zimbabwe,Pakistan,Lahore,1996-11-01,9,wickets
Pakistan,Zimbabwe,Pakistan,Peshawar,1996-11-03,78,runs
India,Australia,India,Mohali,1996-11-03,5,runs
India,South Africa,India,Mumbai,1996-11-06,35,runs
New Zealand,Sri Lanka,New Zealand,Sharjah,1996-11-07,29,runs
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1996-11-08,75,runs
New Zealand,Pakistan,Pakistan,Sharjah,1996-11-10,4,wickets
New Zealand,Sri Lanka,tied,Sharjah,1996-11-11,,
Pakistan,Sri Lanka,Pakistan,Sharjah,1996-11-12,8,wickets
New Zealand,Pakistan,Pakistan,Sharjah,1996-11-13,4,wickets
New Zealand,Pakistan,Pakistan,Sharjah,1996-11-15,41,runs
Pakistan,New Zealand,Pakistan,Gujranwala,1996-12-04,11,runs
Australia,West Indies,Australia,Melbourne,1996-12-06,5,wickets
Pakistan,New Zealand,Pakistan,Sialkot,1996-12-06,46,runs
Australia,West Indies,Australia,Sydney,1996-12-08,8,wickets
Pakistan,New Zealand,New Zealand,Karachi,1996-12-08,7,wickets
India,South Africa,India,Mumbai,1996-12-14,74,runs
Australia,Pakistan,Pakistan,Adelaide,1996-12-15,12,runs
Zimbabwe,England,Zimbabwe,Bulawayo,1996-12-15,2,wickets
Pakistan,West Indies,West Indies,Adelaide,1996-12-17,7,wickets
Australia,Pakistan,Pakistan,Sydney,1997-01-01,4,wickets
Zimbabwe,England,Zimbabwe,Harare,1997-01-01,7,runs
Pakistan,West Indies,West Indies,Brisbane,1997-01-03,6,wickets
Zimbabwe,England,Zimbabwe,Harare,1997-01-03,131,runs
Australia,West Indies,West Indies,Brisbane,1997-01-05,7,wickets
Australia,Pakistan,Pakistan,Hobart,1997-01-07,29,runs
Pakistan,West Indies,West Indies,Perth,1997-01-10,5,wickets
Australia,West Indies,West Indies,Perth,1997-01-12,4,wickets
Pakistan,West Indies,Pakistan,Sydney,1997-01-14,8,wickets
Australia,Pakistan,Australia,Melbourne,1997-01-16,3,wickets
Pakistan,West Indies,Pakistan,Sydney,1997-01-18,4,wickets
Pakistan,West Indies,Pakistan,Melbourne,1997-01-20,62,runs
South Africa,India,South Africa,Bloemfontein,1997-01-23,39,runs
South Africa,Zimbabwe,South Africa,Centurion,1997-01-25,5,wickets
India,Zimbabwe,tied,Paarl,1997-01-27,,
South Africa,Zimbabwe,South Africa,Cape Town,1997-01-29,5,wickets
South Africa,Zimbabwe,South Africa,Johannesburg,1997-01-31,4,wickets
South Africa,India,South Africa,Port Elizabeth,1997-02-02,6,wickets
South Africa,India,South Africa,East London,1997-02-04,6,wickets
India,Zimbabwe,Zimbabwe,Centurion,1997-02-07,3,wickets
India,Zimbabwe,India,Benoni,1997-02-09,6,wickets
South Africa,India,no result,Durban,1997-02-12,,
South Africa,India,South Africa,Durban,1997-02-13,17,runs
Zimbabwe,India,Zimbabwe,Bulawayo,1997-02-15,8,wickets
New Zealand,England,England,Christchurch,1997-02-20,4,wickets
New Zealand,England,England,Auckland,1997-02-23,6,wickets
New Zealand,England,tied,Napier,1997-02-26,,
New Zealand,England,New Zealand,Auckland,1997-03-02,9,runs
New Zealand,England,New Zealand,Wellington,1997-03-04,28,runs
New Zealand,Sri Lanka,Sri Lanka,Christchurch,1997-03-25,6,wickets
New Zealand,Sri Lanka,New Zealand,Wellington,1997-03-27,69,runs
South Africa,Australia,South Africa,East London,1997-03-29,6,wickets
South Africa,Australia,Australia,Port Elizabeth,1997-03-31,7,wickets
South Africa,Australia,South Africa,Cape Town,1997-04-02,46,runs
Sri Lanka,Zimbabwe,Sri Lanka,Sharjah,1997-04-03,7,wickets
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-04,19,runs
South Africa,Australia,Australia,Durban,1997-04-05,15,runs
Pakistan,Zimbabwe,Pakistan,Sharjah,1997-04-06,93,runs
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-07,51,runs
Sri Lanka,Zimbabwe,Zimbabwe,Sharjah,1997-04-08,50,runs
South Africa,Australia,Australia,Johannesburg,1997-04-08,8,runs
Pakistan,Zimbabwe,Pakistan,Sharjah,1997-04-09,32,runs
South Africa,Australia,Australia,Centurion,1997-04-10,5,wickets
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-11,4,wickets
South Africa,Australia,South Africa,Bloemfontein,1997-04-13,109,runs
West Indies,India,West Indies,Port of Spain,1997-04-26,8,wickets
West Indies,India,India,Port of Spain,1997-04-27,10,wickets
West Indies,India,West Indies,Kingstown,1997-04-30,18,runs
West Indies,India,West Indies,Bridgetown,1997-05-03,10,wickets
New Zealand,Pakistan,New Zealand,Mohali,1997-05-09,22,runs
Pakistan,Sri Lanka,Pakistan,Gwalior,1997-05-12,30,runs
India,New Zealand,India,Bengaluru,1997-05-14,8,wickets
India,Sri Lanka,Sri Lanka,Mumbai,1997-05-17,5,wickets
New Zealand,Sri Lanka,Sri Lanka,Hyderabad (Deccan),1997-05-20,52,runs
India,Pakistan,Pakistan,Chennai,1997-05-21,35,runs
England,Australia,England,Leeds,1997-05-22,6,wickets
Pakistan,Sri Lanka,Sri Lanka,Mohali,1997-05-24,115,runs
England,Australia,England,The Oval,1997-05-24,6,wickets
England,Australia,England,Lord's,1997-05-25,6,wickets
Pakistan,Sri Lanka,Sri Lanka,Kolkata,1997-05-27,85,runs
West Indies,Sri Lanka,West Indies,Port of Spain,1997-06-06,35,runs
Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),1997-07-14,15,runs
Bangladesh,Pakistan,Pakistan,Colombo (RPS),1997-07-16,109,runs
Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-07-18,6,wickets
India,Pakistan,no result,Colombo (SSC),1997-07-20,,
Sri Lanka,Bangladesh,Sri Lanka,Colombo (SSC),1997-07-22,103,runs
Bangladesh,India,India,Colombo (SSC),1997-07-24,9,wickets
Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-07-26,8,wickets
Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-08-17,2,runs
Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-08-20,7,wickets
Sri Lanka,India,no result,Colombo (SSC),1997-08-23,,
Sri Lanka,India,Sri Lanka,Colombo (SSC),1997-08-24,9,runs
India,Pakistan,India,Toronto,1997-09-13,20,runs
India,Pakistan,India,Toronto,1997-09-14,7,wickets
India,Pakistan,no result,Toronto,1997-09-17,,
India,Pakistan,India,Toronto,1997-09-18,34,runs
India,Pakistan,India,Toronto,1997-09-20,7,wickets
India,Pakistan,Pakistan,Toronto,1997-09-21,5,wickets
Pakistan,India,Pakistan,Hyderabad (Sind),1997-09-28,5,wickets
Pakistan,India,India,Karachi,1997-09-30,4,wickets
Zimbabwe,New Zealand,tied,Bulawayo,1997-10-01,,
Pakistan,India,Pakistan,Lahore,1997-10-02,9,wickets
Zimbabwe,New Zealand,Zimbabwe,Harare,1997-10-04,3,wickets
Zimbabwe,New Zealand,New Zealand,Harare,1997-10-05,83,runs
Kenya,Bangladesh,Kenya,Nairobi (Gym),1997-10-10,150,runs
Bangladesh,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-11,48,runs
Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-12,6,wickets
Bangladesh,Zimbabwe,Zimbabwe,Nairobi (Aga),1997-10-14,192,runs
Kenya,Bangladesh,Kenya,Nairobi (Aga),1997-10-15,8,wickets
Kenya,Zimbabwe,Zimbabwe,Nairobi (Aga),1997-10-16,7,wickets
Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-18,83,runs
Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-19,82,runs
Sri Lanka,West Indies,Sri Lanka,Lahore,1997-11-01,7,wickets
Pakistan,South Africa,South Africa,Lahore,1997-11-02,9,runs
South Africa,West Indies,South Africa,Lahore,1997-11-03,5,wickets
Pakistan,West Indies,Pakistan,Lahore,1997-11-04,8,wickets
Pakistan,Sri Lanka,Sri Lanka,Lahore,1997-11-05,8,wickets
South Africa,Sri Lanka,South Africa,Lahore,1997-11-06,66,runs
South Africa,Sri Lanka,South Africa,Lahore,1997-11-08,4,wickets
Australia,South Africa,South Africa,Sydney,1997-12-04,67,runs
New Zealand,South Africa,New Zealand,Adelaide,1997-12-06,47,runs
Australia,New Zealand,Australia,Adelaide,1997-12-07,3,wickets
Australia,South Africa,South Africa,Melbourne,1997-12-09,45,runs
New Zealand,South Africa,South Africa,Hobart,1997-12-11,1,run
England,India,England,Sharjah,1997-12-11,7,runs
Pakistan,West Indies,West Indies,Sharjah,1997-12-12,43,runs
England,West Indies,England,Sharjah,1997-12-13,4,wickets
India,Pakistan,Pakistan,Sharjah,1997-12-14,4,wickets
England,Pakistan,England,Sharjah,1997-12-15,8,runs
India,West Indies,West Indies,Sharjah,1997-12-16,41,runs
Australia,New Zealand,Australia,Melbourne,1997-12-17,6,wickets
England,West Indies,England,Sharjah,1997-12-19,3,wickets
India,Sri Lanka,India,Guwahati,1997-12-22,7,wickets
India,Sri Lanka,no result,Indore,1997-12-25,,
India,Sri Lanka,Sri Lanka,Margao,1997-12-28,5,wickets
New Zealand,South Africa,South Africa,Brisbane,1998-01-09,2,runs
Bangladesh,India,India,Dhaka,1998-01-10,4,wickets
India,Pakistan,India,Dhaka,1998-01-11,18,runs
Australia,South Africa,South Africa,Brisbane,1998-01-11,5,wickets
Bangladesh,Pakistan,Pakistan,Dhaka,1998-01-12,9,wickets
India,Pakistan,India,Dhaka,1998-01-14,8,wickets
Australia,New Zealand,Australia,Sydney,1998-01-14,131,runs
India,Pakistan,Pakistan,Dhaka,1998-01-16,6,wickets
New Zealand,South Africa,South Africa,Perth,1998-01-16,67,runs
India,Pakistan,India,Dhaka,1998-01-18,3,wickets
Australia,South Africa,South Africa,Perth,1998-01-18,7,wickets
Australia,New Zealand,New Zealand,Melbourne,1998-01-21,4,wickets
Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1998-01-22,5,wickets
Australia,South Africa,South Africa,Melbourne,1998-01-23,6,runs
Sri Lanka,Zimbabwe,Sri Lanka,Colombo (RPS),1998-01-24,5,wickets
Australia,South Africa,Australia,Sydney,1998-01-26,7,wickets
Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1998-01-26,4,wickets
Australia,South Africa,Australia,Sydney,1998-01-27,14,runs
New Zealand,Zimbabwe,New Zealand,Hamilton,1998-02-04,40,runs
New Zealand,Zimbabwe,New Zealand,Wellington,1998-02-06,8,wickets
New Zealand,Australia,Australia,Christchurch,1998-02-08,7,wickets
New Zealand,Australia,Australia,Wellington,1998-02-10,66,runs
New Zealand,Australia,New Zealand,Napier,1998-02-12,7,wickets
New Zealand,Australia,New Zealand,Auckland,1998-02-14,30,runs
New Zealand,Zimbabwe,Zimbabwe,Christchurch,1998-03-04,1,run
New Zealand,Zimbabwe,New Zealand,Napier,1998-03-06,9,wickets
New Zealand,Zimbabwe,New Zealand,Auckland,1998-03-08,2,runs
Zimbabwe,Pakistan,Pakistan,Harare,1998-03-28,4,wickets
Zimbabwe,Pakistan,Pakistan,Harare,1998-03-29,4,wickets
West Indies,England,England,Bridgetown,1998-03-29,16,runs
India,Australia,India,Kochi,1998-04-01,41,runs
West Indies,England,West Indies,Bridgetown,1998-04-01,1,wicket
Australia,Zimbabwe,Australia,Ahmedabad,1998-04-03,13,runs
South Africa,Pakistan,South Africa,Durban,1998-04-03,52,runs
West Indies,England,West Indies,Kingstown,1998-04-04,5,wickets
India,Zimbabwe,India,Vadodara,1998-04-05,13,runs
South Africa,Sri Lanka,South Africa,Johannesburg,1998-04-05,57,runs
West Indies,England,West Indies,Kingstown,1998-04-05,4,wickets
India,Australia,India,Kanpur,1998-04-07,6,wickets
Pakistan,Sri Lanka,Pakistan,Kimberley,1998-04-07,4,wickets
West Indies,England,West Indies,Port of Spain,1998-04-08,57,runs
India,Zimbabwe,India,Cuttack,1998-04-09,32,runs
Pakistan,Sri Lanka,Pakistan,Paarl,1998-04-09,110,runs
Australia,Zimbabwe,Australia,Delhi,1998-04-11,16,runs
South Africa,Pakistan,South Africa,East London,1998-04-11,3,wickets
South Africa,Sri Lanka,Sri Lanka,Port Elizabeth,1998-04-13,6,wickets
India,Australia,Australia,Delhi,1998-04-14,4,wickets
Pakistan,Sri Lanka,Sri Lanka,Benoni,1998-04-15,115,runs
South Africa,Pakistan,South Africa,Centurion,1998-04-17,7,wickets
India,New Zealand,India,Sharjah,1998-04-17,15,runs
Australia,New Zealand,Australia,Sharjah,1998-04-18,6,wickets
South Africa,Sri Lanka,South Africa,Bloemfontein,1998-04-19,5,wickets
Australia,India,Australia,Sharjah,1998-04-19,58,runs
India,New Zealand,New Zealand,Sharjah,1998-04-20,4,wickets
Australia,New Zealand,Australia,Sharjah,1998-04-21,5,wickets
Australia,India,Australia,Sharjah,1998-04-22,26,runs
South Africa,Pakistan,South Africa,Cape Town,1998-04-23,9,wickets
Australia,India,India,Sharjah,1998-04-24,6,wickets
India,Bangladesh,India,Mohali,1998-05-14,5,wickets
Bangladesh,Kenya,Bangladesh,Hyderabad (Deccan),1998-05-17,6,wickets
India,Kenya,India,Bengaluru,1998-05-20,4,wickets
England,South Africa,South Africa,The Oval,1998-05-21,3,wickets
Bangladesh,Kenya,Kenya,Chennai,1998-05-23,28,runs
England,South Africa,South Africa,Manchester,1998-05-23,32,runs
England,South Africa,England,Leeds,1998-05-24,7,wickets
India,Bangladesh,India,Mumbai,1998-05-25,5,wickets
India,Kenya,Kenya,Gwalior,1998-05-28,69,runs
India,Kenya,India,Kolkata,1998-05-31,9,wickets
Sri Lanka,India,India,Colombo (RPS),1998-06-19,8,wickets
Sri Lanka,New Zealand,Sri Lanka,Colombo (RPS),1998-06-21,7,wickets
India,New Zealand,no result,Colombo (RPS),1998-06-23,,
Sri Lanka,India,Sri Lanka,Colombo (SSC),1998-07-01,8,runs
India,New Zealand,no result,Colombo (SSC),1998-07-03,,
Sri Lanka,New Zealand,Sri Lanka,Colombo (SSC),1998-07-05,87,runs
Sri Lanka,India,India,Colombo (RPS),1998-07-07,6,runs
South Africa,Sri Lanka,Sri Lanka,Nottingham,1998-08-14,57,runs
England,Sri Lanka,England,Lord's,1998-08-16,36,runs
England,South Africa,South Africa,Birmingham,1998-08-18,14,runs
England,Sri Lanka,Sri Lanka,Lord's,1998-08-20,5,wickets
India,Pakistan,India,Toronto,1998-09-12,6,wickets
India,Pakistan,Pakistan,Toronto,1998-09-13,51,runs
India,Pakistan,Pakistan,Toronto,1998-09-16,77,runs
India,Pakistan,Pakistan,Toronto,1998-09-19,134,runs
India,Pakistan,Pakistan,Toronto,1998-09-20,5,wickets
Zimbabwe,India,India,Bulawayo,1998-09-26,8,wickets
Zimbabwe,India,India,Bulawayo,1998-09-27,8,wickets
Zimbabwe,India,Zimbabwe,Harare,1998-09-30,37,runs
New Zealand,Zimbabwe,New Zealand,Dhaka,1998-10-24,5,wickets
England,South Africa,South Africa,Dhaka,1998-10-25,6,wickets
New Zealand,Sri Lanka,Sri Lanka,Dhaka,1998-10-26,5,wickets
Australia,India,India,Dhaka,1998-10-28,44,runs
Pakistan,West Indies,West Indies,Dhaka,1998-10-29,30,runs
South Africa,Sri Lanka,South Africa,Dhaka,1998-10-30,92,runs
India,West Indies,West Indies,Dhaka,1998-10-31,6,wickets
South Africa,West Indies,South Africa,Dhaka,1998-11-01,4,wickets
Pakistan,Australia,Australia,Karachi,1998-11-06,86,runs
India,Sri Lanka,India,Sharjah,1998-11-06,3,wickets
Sri Lanka,Zimbabwe,Zimbabwe,Sharjah,1998-11-07,7,wickets
Pakistan,Australia,Australia,Peshawar,1998-11-08,5,wickets
India,Zimbabwe,India,Sharjah,1998-11-08,7,wickets
India,Sri Lanka,India,Sharjah,1998-11-09,81,runs
Pakistan,Australia,Australia,Lahore,1998-11-10,6,wickets
Sri Lanka,Zimbabwe,Zimbabwe,Sharjah,1998-11-10,24,runs
