,Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
936,Australia,South Africa,Australia,Peshawar,1994-10-24,3.0,wickets
937,New Zealand,West Indies,no result,Margao,1994-10-26,5.0,wickets
938,India,New Zealand,India,Vadodara,1994-10-28,7.0,wickets
939,Pakistan,South Africa,Pakistan,Faisalabad,1994-10-28,6.0,wickets
940,India,West Indies,West Indies,Kanpur,1994-10-30,46.0,runs
941,Pakistan,Australia,Australia,Lahore,1994-10-30,64.0,runs
942,New Zealand,West Indies,West Indies,Guwahati,1994-11-01,135.0,runs
944,Zimbabwe,Sri Lanka,Sri Lanka,Harare,1994-11-03,56.0,runs
943,India,New Zealand,India,Delhi,1994-11-03,107.0,runs
945,Zimbabwe,Sri Lanka,Zimbabwe,Harare,1994-11-05,2.0,runs
946,India,West Indies,India,Kolkata,1994-11-05,72.0,runs
947,Zimbabwe,Sri Lanka,Sri Lanka,Harare,1994-11-06,191.0,runs
948,India,West Indies,India,Visakhapatnam,1994-11-07,4.0,runs
949,India,West Indies,India,Cuttack,1994-11-09,8.0,wickets
950,India,West Indies,India,Jaipur,1994-11-11,5.0,runs
951,Australia,Zimbabwe,Australia,Perth,1994-12-02,2.0,wickets
952,Pakistan,Sri Lanka,Pakistan,Durban,1994-12-02,6.0,wickets
953,Pakistan,Sri Lanka,Pakistan,Centurion,1994-12-04,12.0,runs
954,Australia,England,Australia,Sydney,1994-12-06,28.0,runs
955,South Africa,New Zealand,South Africa,Cape Town,1994-12-06,69.0,runs
956,Australia,Zimbabwe,Australia,Hobart,1994-12-08,84.0,runs
957,New Zealand,Sri Lanka,no result,Bloemfontein,1994-12-08,84.0,runs
958,South Africa,Pakistan,South Africa,Johannesburg,1994-12-10,7.0,wickets
959,South Africa,New Zealand,South Africa,Centurion,1994-12-11,81.0,runs
960,New Zealand,Pakistan,Pakistan,Port Elizabeth,1994-12-13,5.0,wickets
961,England,Zimbabwe,Zimbabwe,Sydney,1994-12-15,13.0,runs
962,South Africa,Sri Lanka,Sri Lanka,Bloemfontein,1994-12-15,35.0,runs
963,South Africa,Pakistan,Pakistan,Durban,1994-12-17,8.0,wickets
964,New Zealand,Sri Lanka,Sri Lanka,East London,1994-12-18,5.0,wickets
965,New Zealand,Pakistan,Pakistan,East London,1994-12-19,5.0,wickets
966,South Africa,Sri Lanka,South Africa,Port Elizabeth,1994-12-21,44.0,runs
967,England,Zimbabwe,England,Brisbane,1995-01-07,26.0,runs
969,South Africa,Pakistan,South Africa,Cape Town,1995-01-10,37.0,runs
968,Australia,England,England,Melbourne,1995-01-10,37.0,runs
970,South Africa,Pakistan,South Africa,Johannesburg,1995-01-12,157.0,runs
971,New Zealand,West Indies,West Indies,Auckland,1995-01-22,25.0,runs
972,New Zealand,West Indies,West Indies,Wellington,1995-01-25,41.0,runs
973,New Zealand,West Indies,West Indies,Christchurch,1995-01-28,9.0,wickets
974,Australia,South Africa,Australia,Wellington,1995-02-15,3.0,wickets
975,New Zealand,India,New Zealand,Napier,1995-02-16,4.0,wickets
976,India,South Africa,South Africa,Hamilton,1995-02-18,14.0,runs
977,New Zealand,Australia,Australia,Auckland,1995-02-19,27.0,runs
978,Australia,India,India,Dunedin,1995-02-22,5.0,wickets
979,Zimbabwe,Pakistan,tied,Harare,1995-02-22,5.0,wickets
981,Zimbabwe,Pakistan,Pakistan,Harare,1995-02-25,4.0,wickets
982,New Zealand,Australia,Australia,Auckland,1995-02-26,6.0,wickets
983,Zimbabwe,Pakistan,Zimbabwe,Harare,1995-02-26,74.0,runs
984,West Indies,Australia,West Indies,Bridgetown,1995-03-08,6.0,runs
985,West Indies,Australia,Australia,Port of Spain,1995-03-11,26.0,runs
986,West Indies,Australia,West Indies,Port of Spain,1995-03-12,133.0,runs
987,West Indies,Australia,West Indies,Kingstown,1995-03-15,7.0,wickets
988,West Indies,Australia,West Indies,Georgetown,1995-03-18,5.0,wickets
989,New Zealand,Sri Lanka,New Zealand,Christchurch,1995-03-26,33.0,runs
990,New Zealand,Sri Lanka,New Zealand,Hamilton,1995-03-29,57.0,runs
991,New Zealand,Sri Lanka,Sri Lanka,Auckland,1995-04-01,51.0,runs
992,Bangladesh,India,India,Sharjah,1995-04-05,9.0,wickets
993,Bangladesh,Sri Lanka,Sri Lanka,Sharjah,1995-04-06,107.0,runs
994,India,Pakistan,Pakistan,Sharjah,1995-04-07,97.0,runs
995,Bangladesh,Pakistan,Pakistan,Sharjah,1995-04-08,6.0,wickets
996,India,Sri Lanka,India,Sharjah,1995-04-09,8.0,wickets
997,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1995-04-11,5.0,wickets
998,India,Sri Lanka,India,Sharjah,1995-04-14,8.0,wickets
1000,England,West Indies,England,The Oval,1995-05-26,25.0,runs
1001,England,West Indies,England,Lord's,1995-05-28,73.0,runs
1002,Pakistan,Sri Lanka,Pakistan,Gujranwala,1995-09-29,9.0,wickets
1003,Pakistan,Sri Lanka,Sri Lanka,Faisalabad,1995-10-01,49.0,runs
1004,Pakistan,Sri Lanka,Sri Lanka,Rawalpindi,1995-10-03,4.0,wickets
1005,Sri Lanka,West Indies,Sri Lanka,Sharjah,1995-10-11,6.0,runs
1006,Pakistan,Sri Lanka,Pakistan,Sharjah,1995-10-12,82.0,runs
1007,Pakistan,West Indies,Pakistan,Sharjah,1995-10-13,15.0,runs
1008,Pakistan,West Indies,West Indies,Sharjah,1995-10-15,4.0,wickets
1009,Sri Lanka,West Indies,West Indies,Sharjah,1995-10-16,4.0,runs
1010,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1995-10-17,8.0,wickets
1011,Sri Lanka,West Indies,Sri Lanka,Sharjah,1995-10-20,50.0,runs
1012,Zimbabwe,South Africa,South Africa,Harare,1995-10-21,134.0,runs
1013,Zimbabwe,South Africa,South Africa,Harare,1995-10-22,112.0,runs
1014,India,New Zealand,New Zealand,Jamshedpur,1995-11-15,8.0,wickets
1015,India,New Zealand,India,Amritsar,1995-11-18,6.0,wickets
1016,India,New Zealand,India,Pune,1995-11-24,5.0,wickets
1017,India,New Zealand,New Zealand,Nagpur,1995-11-26,99.0,runs
1018,India,New Zealand,India,Mumbai (BS),1995-11-29,6.0,wickets
1019,New Zealand,Pakistan,Pakistan,Dunedin,1995-12-15,20.0,runs
1020,Sri Lanka,West Indies,Sri Lanka,Adelaide,1995-12-15,4.0,wickets
1021,New Zealand,Pakistan,New Zealand,Christchurch,1995-12-17,1.0,wicket
1022,Australia,West Indies,Australia,Adelaide,1995-12-17,121.0,runs
1023,Australia,West Indies,Australia,Melbourne,1995-12-19,24.0,runs
1024,New Zealand,Pakistan,Pakistan,Wellington,1995-12-20,54.0,runs
1025,Australia,Sri Lanka,Australia,Sydney,1995-12-21,5.0,wickets
1026,New Zealand,Pakistan,New Zealand,Auckland,1995-12-23,32.0,runs
1027,Australia,West Indies,Australia,Sydney,1996-01-01,1.0,wicket
1028,Sri Lanka,West Indies,West Indies,Hobart,1996-01-03,70.0,runs
1029,Sri Lanka,West Indies,West Indies,Brisbane,1996-01-05,7.0,wickets
1030,Australia,West Indies,West Indies,Brisbane,1996-01-07,14.0,runs
1031,Australia,Sri Lanka,Sri Lanka,Melbourne,1996-01-09,3.0,wickets
1032,South Africa,England,South Africa,Cape Town,1996-01-09,6.0,runs
1033,South Africa,England,England,Bloemfontein,1996-01-11,5.0,wickets
1034,Australia,Sri Lanka,Australia,Perth,1996-01-12,83.0,runs
1035,South Africa,England,South Africa,Johannesburg,1996-01-13,3.0,wickets
1036,Sri Lanka,West Indies,Sri Lanka,Perth,1996-01-14,16.0,runs
1037,South Africa,England,South Africa,Centurion,1996-01-14,7.0,wickets
1038,Australia,Sri Lanka,Sri Lanka,Melbourne,1996-01-16,3.0,wickets
1039,South Africa,England,South Africa,Durban,1996-01-17,5.0,wickets
1040,Australia,Sri Lanka,Australia,Melbourne,1996-01-18,18.0,runs
1041,South Africa,England,South Africa,East London,1996-01-19,14.0,runs
1042,Australia,Sri Lanka,Australia,Sydney,1996-01-20,9.0,runs
1043,South Africa,England,South Africa,Port Elizabeth,1996-01-21,64.0,runs
1044,New Zealand,Zimbabwe,New Zealand,Auckland,1996-01-28,74.0,runs
1045,New Zealand,Zimbabwe,New Zealand,Wellington,1996-01-31,6.0,wickets
1046,New Zealand,Zimbabwe,Zimbabwe,Napier,1996-02-03,21.0,runs
1047,England,New Zealand,New Zealand,Ahmedabad,1996-02-14,11.0,runs
1049,West Indies,Zimbabwe,West Indies,Hyderabad (Deccan),1996-02-16,6.0,wickets
1048,South Africa,U.A.E.,South Africa,Rawalpindi,1996-02-16,169.0,runs
1050,Netherlands,New Zealand,New Zealand,Vadodara,1996-02-17,119.0,runs
1051,India,Kenya,India,Cuttack,1996-02-18,7.0,wickets
1052,England,U.A.E.,England,Peshawar,1996-02-18,8.0,wickets
1053,New Zealand,South Africa,South Africa,Faisalabad,1996-02-20,5.0,wickets
1054,Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1996-02-21,6.0,wickets
1055,India,West Indies,India,Gwalior,1996-02-21,5.0,wickets
1056,England,Netherlands,England,Peshawar,1996-02-22,49.0,runs
1057,Australia,Kenya,Australia,Visakhapatnam,1996-02-23,97.0,runs
1058,Pakistan,U.A.E.,Pakistan,Gujranwala,1996-02-24,9.0,wickets
1059,England,South Africa,South Africa,Rawalpindi,1996-02-25,78.0,runs
1060,Kenya,Zimbabwe,no result,Patna,1996-02-26,8.0,wickets
1061,Pakistan,Netherlands,Pakistan,Lahore,1996-02-26,8.0,wickets
1064,India,Australia,Australia,Mumbai,1996-02-27,16.0,runs
1062,Kenya,Zimbabwe,Zimbabwe,Patna,1996-02-27,5.0,wickets
1063,New Zealand,U.A.E.,New Zealand,Faisalabad,1996-02-27,109.0,runs
1065,Kenya,West Indies,Kenya,Pune,1996-02-29,73.0,runs
1066,Pakistan,South Africa,South Africa,Karachi,1996-02-29,5.0,wickets
1068,Netherlands,U.A.E.,U.A.E.,Lahore,1996-03-01,7.0,wickets
1067,Australia,Zimbabwe,Australia,Nagpur,1996-03-01,8.0,wickets
1069,India,Sri Lanka,Sri Lanka,Delhi,1996-03-02,6.0,wickets
1070,Pakistan,England,Pakistan,Karachi,1996-03-03,7.0,wickets
1071,Australia,West Indies,West Indies,Jaipur,1996-03-04,4.0,wickets
1072,Netherlands,South Africa,South Africa,Rawalpindi,1996-03-05,160.0,runs
1073,India,Zimbabwe,India,Kanpur,1996-03-06,40.0,runs
1074,Sri Lanka,Kenya,Sri Lanka,Kandy,1996-03-06,144.0,runs
1075,Pakistan,New Zealand,Pakistan,Lahore,1996-03-06,46.0,runs
1076,England,Sri Lanka,Sri Lanka,Faisalabad,1996-03-09,5.0,wickets
1077,India,Pakistan,India,Bengaluru,1996-03-09,39.0,runs
1079,Australia,New Zealand,Australia,Chennai,1996-03-11,6.0,wickets
1078,South Africa,West Indies,West Indies,Karachi,1996-03-11,19.0,runs
1080,India,Sri Lanka,Sri Lanka,Kolkata,1996-03-13,12.0,runs
1081,Australia,West Indies,Australia,Mohali,1996-03-14,5.0,runs
1082,Australia,Sri Lanka,Sri Lanka,Lahore,1996-03-17,7.0,wickets
1083,West Indies,New Zealand,West Indies,Kingston,1996-03-26,1.0,wicket
1084,West Indies,New Zealand,New Zealand,Port of Spain,1996-03-29,4.0,wickets
1085,West Indies,New Zealand,West Indies,Port of Spain,1996-03-30,7.0,wickets
1086,Pakistan,Sri Lanka,no result,Singapore,1996-04-01,20.0,wickets
1087,Pakistan,Sri Lanka,Sri Lanka,Singapore,1996-04-02,34.0,runs
1088,India,Sri Lanka,India,Singapore,1996-04-03,12.0,runs
1089,West Indies,New Zealand,New Zealand,Georgetown,1996-04-03,4.0,runs
1090,India,Pakistan,Pakistan,Singapore,1996-04-05,8.0,wickets
1091,West Indies,New Zealand,West Indies,Kingstown,1996-04-06,7.0,wickets
1092,Pakistan,Sri Lanka,Pakistan,Singapore,1996-04-07,43.0,runs
1093,India,Pakistan,Pakistan,Sharjah,1996-04-12,38.0,runs
1095,West Indies,Sri Lanka,Sri Lanka,Port of Spain,1996-04-13,35.0,runs
1094,Pakistan,South Africa,South Africa,Sharjah,1996-04-13,143.0,runs
1096,India,South Africa,South Africa,Sharjah,1996-04-14,80.0,runs
1097,India,Pakistan,India,Sharjah,1996-04-15,28.0,runs
1098,Pakistan,South Africa,South Africa,Sharjah,1996-04-16,8.0,wickets
1099,India,South Africa,South Africa,Sharjah,1996-04-17,5.0,wickets
1100,India,South Africa,South Africa,Sharjah,1996-04-19,38.0,runs
1102,England,India,England,Leeds,1996-05-25,6.0,wickets
1104,Australia,Zimbabwe,Australia,Colombo (RPS),1996-08-26,125.0,runs
1105,Sri Lanka,India,Sri Lanka,Colombo (RPS),1996-08-28,9.0,wickets
1106,England,Pakistan,England,Manchester,1996-08-29,5.0,wickets
1107,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),1996-08-30,4.0,wickets
1108,England,Pakistan,England,Birmingham,1996-08-31,107.0,runs
1109,India,Zimbabwe,India,Colombo (SSC),1996-09-01,7.0,wickets
1110,England,Pakistan,Pakistan,Nottingham,1996-09-01,2.0,wickets
1111,Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1996-09-03,6.0,wickets
1112,Australia,India,Australia,Colombo (SSC),1996-09-06,3.0,wickets
1113,Sri Lanka,Australia,Sri Lanka,Colombo (RPS),1996-09-07,50.0,runs
1114,India,Pakistan,India,Toronto,1996-09-16,8.0,wickets
1115,India,Pakistan,Pakistan,Toronto,1996-09-17,2.0,wickets
1116,India,Pakistan,India,Toronto,1996-09-18,55.0,runs
1117,India,Pakistan,Pakistan,Toronto,1996-09-21,97.0,runs
1118,India,Pakistan,Pakistan,Toronto,1996-09-23,52.0,runs
1119,Kenya,Sri Lanka,Sri Lanka,Nairobi (Gym),1996-09-28,7.0,wickets
1120,Pakistan,South Africa,South Africa,Nairobi (Gym),1996-09-29,62.0,runs
1121,South Africa,Sri Lanka,Sri Lanka,Nairobi (Club),1996-10-01,2.0,wickets
1122,Kenya,Pakistan,Pakistan,Nairobi (Aga),1996-10-02,4.0,wickets
1123,Kenya,South Africa,South Africa,Nairobi (Gym),1996-10-03,202.0,runs
1124,Pakistan,Sri Lanka,Pakistan,Nairobi (Gym),1996-10-04,82.0,runs
1125,Pakistan,South Africa,South Africa,Nairobi (Gym),1996-10-06,7.0,wickets
1126,India,South Africa,South Africa,Hyderabad (Deccan),1996-10-17,47.0,runs
1127,Australia,South Africa,South Africa,Indore,1996-10-19,7.0,wickets
1128,India,Australia,India,Bengaluru,1996-10-21,2.0,wickets
1129,India,South Africa,South Africa,Jaipur,1996-10-23,27.0,runs
1130,Australia,South Africa,South Africa,Faridabad,1996-10-25,2.0,wickets
1131,India,South Africa,South Africa,Rajkot,1996-10-29,5.0,wickets
1132,Pakistan,Zimbabwe,Pakistan,Quetta,1996-10-30,3.0,wickets
1133,Australia,South Africa,South Africa,Guwahati,1996-11-01,8.0,wickets
1134,Pakistan,Zimbabwe,Pakistan,Lahore,1996-11-01,9.0,wickets
1135,Pakistan,Zimbabwe,Pakistan,Peshawar,1996-11-03,78.0,runs
1136,India,Australia,India,Mohali,1996-11-03,5.0,runs
1137,India,South Africa,India,Mumbai,1996-11-06,35.0,runs
1138,New Zealand,Sri Lanka,New Zealand,Sharjah,1996-11-07,29.0,runs
1139,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1996-11-08,75.0,runs
1140,New Zealand,Pakistan,Pakistan,Sharjah,1996-11-10,4.0,wickets
1141,New Zealand,Sri Lanka,tied,Sharjah,1996-11-11,6.0,wickets
1142,Pakistan,Sri Lanka,Pakistan,Sharjah,1996-11-12,8.0,wickets
1143,New Zealand,Pakistan,Pakistan,Sharjah,1996-11-13,4.0,wickets
1144,New Zealand,Pakistan,Pakistan,Sharjah,1996-11-15,41.0,runs
1145,Pakistan,New Zealand,Pakistan,Gujranwala,1996-12-04,11.0,runs
1147,Pakistan,New Zealand,Pakistan,Sialkot,1996-12-06,46.0,runs
1146,Australia,West Indies,Australia,Melbourne,1996-12-06,5.0,wickets
1148,Australia,West Indies,Australia,Sydney,1996-12-08,8.0,wickets
1149,Pakistan,New Zealand,New Zealand,Karachi,1996-12-08,7.0,wickets
1150,India,South Africa,India,Mumbai,1996-12-14,74.0,runs
1151,Australia,Pakistan,Pakistan,Adelaide,1996-12-15,12.0,runs
1152,Zimbabwe,England,Zimbabwe,Bulawayo,1996-12-15,2.0,wickets
1153,Pakistan,West Indies,West Indies,Adelaide,1996-12-17,7.0,wickets
1154,Australia,Pakistan,Pakistan,Sydney,1997-01-01,4.0,wickets
1155,Zimbabwe,England,Zimbabwe,Harare,1997-01-01,7.0,runs
1157,Zimbabwe,England,Zimbabwe,Harare,1997-01-03,131.0,runs
1156,Pakistan,West Indies,West Indies,Brisbane,1997-01-03,6.0,wickets
1158,Australia,West Indies,West Indies,Brisbane,1997-01-05,7.0,wickets
1159,Australia,Pakistan,Pakistan,Hobart,1997-01-07,29.0,runs
1160,Pakistan,West Indies,West Indies,Perth,1997-01-10,5.0,wickets
1161,Australia,West Indies,West Indies,Perth,1997-01-12,4.0,wickets
1162,Pakistan,West Indies,Pakistan,Sydney,1997-01-14,8.0,wickets
1163,Australia,Pakistan,Australia,Melbourne,1997-01-16,3.0,wickets
1164,Pakistan,West Indies,Pakistan,Sydney,1997-01-18,4.0,wickets
1165,Pakistan,West Indies,Pakistan,Melbourne,1997-01-20,62.0,runs
1166,South Africa,India,South Africa,Bloemfontein,1997-01-23,39.0,runs
1167,South Africa,Zimbabwe,South Africa,Centurion,1997-01-25,5.0,wickets
1168,India,Zimbabwe,tied,Paarl,1997-01-27,5.0,wickets
1169,South Africa,Zimbabwe,South Africa,Cape Town,1997-01-29,5.0,wickets
1170,South Africa,Zimbabwe,South Africa,Johannesburg,1997-01-31,4.0,wickets
1171,South Africa,India,South Africa,Port Elizabeth,1997-02-02,6.0,wickets
1172,South Africa,India,South Africa,East London,1997-02-04,6.0,wickets
1173,India,Zimbabwe,Zimbabwe,Centurion,1997-02-07,3.0,wickets
1174,India,Zimbabwe,India,Benoni,1997-02-09,6.0,wickets
1175,South Africa,India,no result,Durban,1997-02-12,12.0,wickets
1176,South Africa,India,South Africa,Durban,1997-02-13,17.0,runs
1177,Zimbabwe,India,Zimbabwe,Bulawayo,1997-02-15,8.0,wickets
1178,New Zealand,England,England,Christchurch,1997-02-20,4.0,wickets
1179,New Zealand,England,England,Auckland,1997-02-23,6.0,wickets
1180,New Zealand,England,tied,Napier,1997-02-26,8.0,wickets
1181,New Zealand,England,New Zealand,Auckland,1997-03-02,9.0,runs
1182,New Zealand,England,New Zealand,Wellington,1997-03-04,28.0,runs
1183,New Zealand,Sri Lanka,Sri Lanka,Christchurch,1997-03-25,6.0,wickets
1184,New Zealand,Sri Lanka,New Zealand,Wellington,1997-03-27,69.0,runs
1185,South Africa,Australia,South Africa,East London,1997-03-29,6.0,wickets
1186,South Africa,Australia,Australia,Port Elizabeth,1997-03-31,7.0,wickets
1187,South Africa,Australia,South Africa,Cape Town,1997-04-02,46.0,runs
1188,Sri Lanka,Zimbabwe,Sri Lanka,Sharjah,1997-04-03,7.0,wickets
1189,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-04,19.0,runs
1190,South Africa,Australia,Australia,Durban,1997-04-05,15.0,runs
1191,Pakistan,Zimbabwe,Pakistan,Sharjah,1997-04-06,93.0,runs
1192,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-07,51.0,runs
1193,Sri Lanka,Zimbabwe,Zimbabwe,Sharjah,1997-04-08,50.0,runs
1194,South Africa,Australia,Australia,Johannesburg,1997-04-08,8.0,runs
1195,Pakistan,Zimbabwe,Pakistan,Sharjah,1997-04-09,32.0,runs
1196,South Africa,Australia,Australia,Centurion,1997-04-10,5.0,wickets
1197,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1997-04-11,4.0,wickets
1198,South Africa,Australia,South Africa,Bloemfontein,1997-04-13,109.0,runs
1199,West Indies,India,West Indies,Port of Spain,1997-04-26,8.0,wickets
1200,West Indies,India,India,Port of Spain,1997-04-27,10.0,wickets
1201,West Indies,India,West Indies,Kingstown,1997-04-30,18.0,runs
1202,West Indies,India,West Indies,Bridgetown,1997-05-03,10.0,wickets
1203,New Zealand,Pakistan,New Zealand,Mohali,1997-05-09,22.0,runs
1204,Pakistan,Sri Lanka,Pakistan,Gwalior,1997-05-12,30.0,runs
1205,India,New Zealand,India,Bengaluru,1997-05-14,8.0,wickets
1206,India,Sri Lanka,Sri Lanka,Mumbai,1997-05-17,5.0,wickets
1207,New Zealand,Sri Lanka,Sri Lanka,Hyderabad (Deccan),1997-05-20,52.0,runs
1208,India,Pakistan,Pakistan,Chennai,1997-05-21,35.0,runs
1209,England,Australia,England,Leeds,1997-05-22,6.0,wickets
1210,Pakistan,Sri Lanka,Sri Lanka,Mohali,1997-05-24,115.0,runs
1211,England,Australia,England,The Oval,1997-05-24,6.0,wickets
1212,England,Australia,England,Lord's,1997-05-25,6.0,wickets
1213,Pakistan,Sri Lanka,Sri Lanka,Kolkata,1997-05-27,85.0,runs
1214,West Indies,Sri Lanka,West Indies,Port of Spain,1997-06-06,35.0,runs
1215,Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),1997-07-14,15.0,runs
1216,Bangladesh,Pakistan,Pakistan,Colombo (RPS),1997-07-16,109.0,runs
1217,Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-07-18,6.0,wickets
1218,India,Pakistan,no result,Colombo (SSC),1997-07-20,54.0,wickets
1219,Sri Lanka,Bangladesh,Sri Lanka,Colombo (SSC),1997-07-22,103.0,runs
1220,Bangladesh,India,India,Colombo (SSC),1997-07-24,9.0,wickets
1221,Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-07-26,8.0,wickets
1222,Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-08-17,2.0,runs
1223,Sri Lanka,India,Sri Lanka,Colombo (RPS),1997-08-20,7.0,wickets
1224,Sri Lanka,India,no result,Colombo (SSC),1997-08-23,8.0,wickets
1225,Sri Lanka,India,Sri Lanka,Colombo (SSC),1997-08-24,9.0,runs
1226,India,Pakistan,India,Toronto,1997-09-13,20.0,runs
1227,India,Pakistan,India,Toronto,1997-09-14,7.0,wickets
1228,India,Pakistan,no result,Toronto,1997-09-17,20.0,wickets
1229,India,Pakistan,India,Toronto,1997-09-18,34.0,runs
1230,India,Pakistan,India,Toronto,1997-09-20,7.0,wickets
1231,India,Pakistan,Pakistan,Toronto,1997-09-21,5.0,wickets
1232,Pakistan,India,Pakistan,Hyderabad (Sind),1997-09-28,5.0,wickets
1233,Pakistan,India,India,Karachi,1997-09-30,4.0,wickets
1234,Zimbabwe,New Zealand,tied,Bulawayo,1997-10-01,6.0,wickets
1235,Pakistan,India,Pakistan,Lahore,1997-10-02,9.0,wickets
1236,Zimbabwe,New Zealand,Zimbabwe,Harare,1997-10-04,3.0,wickets
1237,Zimbabwe,New Zealand,New Zealand,Harare,1997-10-05,83.0,runs
1238,Kenya,Bangladesh,Kenya,Nairobi (Gym),1997-10-10,150.0,runs
1239,Bangladesh,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-11,48.0,runs
1240,Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-12,6.0,wickets
1241,Bangladesh,Zimbabwe,Zimbabwe,Nairobi (Aga),1997-10-14,192.0,runs
1242,Kenya,Bangladesh,Kenya,Nairobi (Aga),1997-10-15,8.0,wickets
1243,Kenya,Zimbabwe,Zimbabwe,Nairobi (Aga),1997-10-16,7.0,wickets
1244,Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-18,83.0,runs
1245,Kenya,Zimbabwe,Zimbabwe,Nairobi (Gym),1997-10-19,82.0,runs
1246,Sri Lanka,West Indies,Sri Lanka,Lahore,1997-11-01,7.0,wickets
1247,Pakistan,South Africa,South Africa,Lahore,1997-11-02,9.0,runs
1248,South Africa,West Indies,South Africa,Lahore,1997-11-03,5.0,wickets
1249,Pakistan,West Indies,Pakistan,Lahore,1997-11-04,8.0,wickets
1250,Pakistan,Sri Lanka,Sri Lanka,Lahore,1997-11-05,8.0,wickets
1251,South Africa,Sri Lanka,South Africa,Lahore,1997-11-06,66.0,runs
1252,South Africa,Sri Lanka,South Africa,Lahore,1997-11-08,4.0,wickets
1253,Australia,South Africa,South Africa,Sydney,1997-12-04,67.0,runs
1254,New Zealand,South Africa,New Zealand,Adelaide,1997-12-06,47.0,runs
1255,Australia,New Zealand,Australia,Adelaide,1997-12-07,3.0,wickets
1256,Australia,South Africa,South Africa,Melbourne,1997-12-09,45.0,runs
1257,New Zealand,South Africa,South Africa,Hobart,1997-12-11,1.0,run
1258,England,India,England,Sharjah,1997-12-11,7.0,runs
1259,Pakistan,West Indies,West Indies,Sharjah,1997-12-12,43.0,runs
1260,England,West Indies,England,Sharjah,1997-12-13,4.0,wickets
1261,India,Pakistan,Pakistan,Sharjah,1997-12-14,4.0,wickets
1262,England,Pakistan,England,Sharjah,1997-12-15,8.0,runs
1263,India,West Indies,West Indies,Sharjah,1997-12-16,41.0,runs
1264,Australia,New Zealand,Australia,Melbourne,1997-12-17,6.0,wickets
1265,England,West Indies,England,Sharjah,1997-12-19,3.0,wickets
1266,India,Sri Lanka,India,Guwahati,1997-12-22,7.0,wickets
1267,India,Sri Lanka,no result,Indore,1997-12-25,6.0,wickets
1268,India,Sri Lanka,Sri Lanka,Margao,1997-12-28,5.0,wickets
1269,New Zealand,South Africa,South Africa,Brisbane,1998-01-09,2.0,runs
1270,Bangladesh,India,India,Dhaka,1998-01-10,4.0,wickets
1271,India,Pakistan,India,Dhaka,1998-01-11,18.0,runs
1272,Australia,South Africa,South Africa,Brisbane,1998-01-11,5.0,wickets
1273,Bangladesh,Pakistan,Pakistan,Dhaka,1998-01-12,9.0,wickets
1274,India,Pakistan,India,Dhaka,1998-01-14,8.0,wickets
1275,Australia,New Zealand,Australia,Sydney,1998-01-14,131.0,runs
1276,India,Pakistan,Pakistan,Dhaka,1998-01-16,6.0,wickets
1277,New Zealand,South Africa,South Africa,Perth,1998-01-16,67.0,runs
1278,India,Pakistan,India,Dhaka,1998-01-18,3.0,wickets
1279,Australia,South Africa,South Africa,Perth,1998-01-18,7.0,wickets
1280,Australia,New Zealand,New Zealand,Melbourne,1998-01-21,4.0,wickets
1281,Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1998-01-22,5.0,wickets
1282,Australia,South Africa,South Africa,Melbourne,1998-01-23,6.0,runs
1283,Sri Lanka,Zimbabwe,Sri Lanka,Colombo (RPS),1998-01-24,5.0,wickets
1285,Sri Lanka,Zimbabwe,Sri Lanka,Colombo (SSC),1998-01-26,4.0,wickets
1284,Australia,South Africa,Australia,Sydney,1998-01-26,7.0,wickets
1286,Australia,South Africa,Australia,Sydney,1998-01-27,14.0,runs
1287,New Zealand,Zimbabwe,New Zealand,Hamilton,1998-02-04,40.0,runs
1288,New Zealand,Zimbabwe,New Zealand,Wellington,1998-02-06,8.0,wickets
1289,New Zealand,Australia,Australia,Christchurch,1998-02-08,7.0,wickets
1290,New Zealand,Australia,Australia,Wellington,1998-02-10,66.0,runs
1291,New Zealand,Australia,New Zealand,Napier,1998-02-12,7.0,wickets
1292,New Zealand,Australia,New Zealand,Auckland,1998-02-14,30.0,runs
1293,New Zealand,Zimbabwe,Zimbabwe,Christchurch,1998-03-04,1.0,run
1294,New Zealand,Zimbabwe,New Zealand,Napier,1998-03-06,9.0,wickets
1295,New Zealand,Zimbabwe,New Zealand,Auckland,1998-03-08,2.0,runs
